epochs,n_samples,losses/opt1/fit/coeff,losses/opt1/fit/value,losses/opt1/value,metrics/batch_index,metrics/batch_size,images,checkpoint_tune,checkpoint_size,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,config/name,config/base_dir,config/db_name,config/sources,config/log_sys_usage,config/_gin__hid__choice,config/_gin__lr__loguniform,config/_gin__pow__uniform,time_since_restore,timesteps_since_restore,iterations_since_restore,perf/cpu_util_percent,perf/ram_util_percent,trial_id,experiment_tag,perf/gpu_util_percent0,perf/vram_util_percent0
49900,341,1.0,0.8589993119239807,0.8589993119239807,0,-1,,,,0.5636081695556641,,False,,,500,04e4059dad6847148860e41b9c06db37,2021-01-20_13-18-13,1611148693,399.4886827468872,216566,793d67778520,172.28.0.2,progressbar_search_stop_after_completes,/root/causality-disentanglement-rl/results/progressbar_search_stop_after_completes/2021_01_20_13_11_26,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/progressbar_search.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/stop_after_completes.gin']",True,1,0.02358745311694418,3.179563391707126,399.4886827468872,0,500,95.5,48.2,0031e_00000,"0__gin__hid__choice=1,_gin__lr__loguniform=0.023587,_gin__pow__uniform=3.1796",,
49900,341,1.0,0.9296187162399292,0.9296187162399292,0,-1,,,,0.5313973426818848,,False,,,500,7220807ac41b4c538fd54bb841b5960f,2021-01-20_13-18-57,1611148737,442.17232370376587,216563,793d67778520,172.28.0.2,progressbar_search_stop_after_completes,/root/causality-disentanglement-rl/results/progressbar_search_stop_after_completes/2021_01_20_13_11_26,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/progressbar_search.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/stop_after_completes.gin']",True,3,0.01943664501018246,1.8335995349303587,442.17232370376587,0,500,56.8,45.5,0031e_00001,"1__gin__hid__choice=3,_gin__lr__loguniform=0.019437,_gin__pow__uniform=1.8336",,
49900,341,1.0,5.6875786781311035,5.6875786781311035,0,-1,,,,0.668694257736206,,False,,,500,7ee6545049794a5895cca5a7b923aafd,2021-01-20_13-18-23,1611148703,409.364839553833,216564,793d67778520,172.28.0.2,progressbar_search_stop_after_completes,/root/causality-disentanglement-rl/results/progressbar_search_stop_after_completes/2021_01_20_13_11_26,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/progressbar_search.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/stop_after_completes.gin']",True,1,0.005510214242442877,1.0552557934407798,409.364839553833,0,500,97.3,46.9,0031e_00002,"2__gin__hid__choice=1,_gin__lr__loguniform=0.0055102,_gin__pow__uniform=1.0553",,
49900,341,1.0,0.032258108258247375,0.032258108258247375,0,-1,,,,0.632819414138794,,False,,,500,1153a8b2d9ff45639d97d128e4d99b13,2021-01-20_13-19-15,1611148755,461.3506293296814,216565,793d67778520,172.28.0.2,progressbar_search_stop_after_completes,/root/causality-disentanglement-rl/results/progressbar_search_stop_after_completes/2021_01_20_13_11_26,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/progressbar_search.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/stop_after_completes.gin']",True,2,0.0077681614382959846,2.4776658596163355,461.3506293296814,0,500,47.6,44.2,0031e_00003,"3__gin__hid__choice=2,_gin__lr__loguniform=0.0077682,_gin__pow__uniform=2.4777",,
49900,341,1.0,,,0,-1,,,,0.5863559246063232,,False,,,500,a6940b91b9fa4ee597949c60ca679f64,2021-01-20_17-57-03,1611165423,376.936470746994,306022,793d67778520,172.28.0.2,progressbar_search_stop_after_completes,/root/causality-disentanglement-rl/results/progressbar_search_stop_after_completes/2021_01_20_17_50_38,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/progressbar_search.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/stop_after_completes.gin']",True,2,0.00012526522621115783,0.46744234616301494,376.936470746994,0,500,97.3,66.6,01bd8_00000,"0__gin__hid__choice=2,_gin__lr__loguniform=0.00012527,_gin__pow__uniform=0.46744",,
49900,341,1.0,0.1105649396777153,0.1105649396777153,0,-1,,,,0.5452649593353271,,False,,,500,659347354513436e9f1f052cd5e9edb6,2021-01-20_17-57-29,1611165449,402.5807480812073,306023,793d67778520,172.28.0.2,progressbar_search_stop_after_completes,/root/causality-disentanglement-rl/results/progressbar_search_stop_after_completes/2021_01_20_17_50_38,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/progressbar_search.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/stop_after_completes.gin']",True,2,0.0003894360436201723,1.9504147401153702,402.5807480812073,0,500,69.1,63.9,01bd8_00001,"1__gin__hid__choice=2,_gin__lr__loguniform=0.00038944,_gin__pow__uniform=1.9504",,
49900,341,1.0,5.59022446389168e-12,5.59022446389168e-12,0,-1,,,,0.593306303024292,,False,,,500,6a91080edf314f66ad1892726a2b9697,2021-01-20_17-58-26,1611165506,459.45092272758484,306020,793d67778520,172.28.0.2,progressbar_search_stop_after_completes,/root/causality-disentanglement-rl/results/progressbar_search_stop_after_completes/2021_01_20_17_50_38,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/progressbar_search.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/stop_after_completes.gin']",True,4,0.07948785691638008,1.975993013759993,459.45092272758484,0,500,56.2,62.6,01bd8_00002,"2__gin__hid__choice=4,_gin__lr__loguniform=0.079488,_gin__pow__uniform=1.976",,
49900,341,1.0,,,0,-1,,,,0.7796361446380615,,False,,,500,238d394ccf8d44b88955675921bdc93c,2021-01-20_17-57-07,1611165427,380.39749574661255,306021,793d67778520,172.28.0.2,progressbar_search_stop_after_completes,/root/causality-disentanglement-rl/results/progressbar_search_stop_after_completes/2021_01_20_17_50_38,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/progressbar_search.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/stop_after_completes.gin']",True,2,0.002286715212988159,0.6421268765198482,380.39749574661255,0,500,99.7,65.2,01bd8_00003,"3__gin__hid__choice=2,_gin__lr__loguniform=0.0022867,_gin__pow__uniform=0.64213",,
49900,341,1.0,,,0,-1,,,,0.5935750007629395,,False,,,500,97e9f64625364bd8bdf073be6014d6f8,2021-01-20_08-38-16,1611131896,347.74734330177307,126460,793d67778520,172.28.0.2,progressbar_search_stop_after_completes,/root/causality-disentanglement-rl/results/progressbar_search_stop_after_completes/2021_01_20_08_32_21,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/progressbar_search.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/stop_after_completes.gin']",True,4,0.0008236867057956947,0.7609887211644695,347.74734330177307,0,500,94.1,30.7,03c38_00000,"0__gin__hid__choice=4,_gin__lr__loguniform=0.00082369,_gin__pow__uniform=0.76099",,
49900,341,1.0,,,0,-1,,,,0.6436367034912109,,False,,,500,ec60a1b21878499db692db80a71d2b1a,2021-01-20_08-38-16,1611131896,348.26846051216125,126457,793d67778520,172.28.0.2,progressbar_search_stop_after_completes,/root/causality-disentanglement-rl/results/progressbar_search_stop_after_completes/2021_01_20_08_32_21,causal_sparse,"['/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/progressbar_search.gin', '/root/causality-disentanglement-rl/sparse_causal_model_learner_rl/configs/stop_after_completes.gin']",True,4,0.02473192429872588,0.2628289814525519,348.26846051216125,0,500,98.0,30.7,03c38_00001,"1__gin__hid__choice=4,_gin__lr__loguniform=0.024732,_gin__pow__uniform=0.26283",,
